,year_ceremony,category,name,film,sag
4456,2002,Actress in a Leading Role,Halle Berry,Monster'S Ball,Winner
4457,2002,Actress in a Supporting Role,Cate Blanchett,Bandits,Nominee
4458,2002,Actress in a Supporting Role,Helen Mirren,Gosford Park,Winner
4459,2002,Actress in a Supporting Role,Dakota Fanning,I Am Sam,Nominee
4460,2002,Actress in a Supporting Role,Judi Dench,The Shipping News,Nominee
4461,2002,Actress in a Supporting Role,Cameron Diaz,Vanilla Sky,Nominee
4478,2002,Actor in a Leading Role,Russell Crowe,A Beautiful Mind,Winner
4479,2002,Actor in a Leading Role,Sean Penn,I Am Sam,Nominee
4480,2002,Actor in a Leading Role,Tom Wilkinson,In The Bedroom,Nominee
4481,2002,Actor in a Leading Role,Kevin Kline,Life As A House,Nominee
4482,2002,Actor in a Leading Role,Denzel Washington,Training Day,Nominee
4483,2002,Actor in a Supporting Role,Jim Broadbent,Iris,Nominee
4484,2002,Actor in a Supporting Role,Hayden Christensen,Life As A House,Nominee
4485,2002,Actor in a Supporting Role,Ian Mckellen,Lord Of The Rings: The Fellowship Of The Ring,Winner
4486,2002,Actor in a Supporting Role,Ben Kingsley,Sexy Beast,Nominee
4487,2002,Actor in a Supporting Role,Ethan Hawke,Training Day,Nominee
4643,2001,Actress in a Leading Role,Juliette Binoche,Chocolat,Nominee
4644,2001,Actress in a Leading Role,Julia Roberts,Erin Brockovich,Winner
4645,2001,Actress in a Leading Role,Ellen Burstyn,Requiem For A Dream,Nominee
4646,2001,Actress in a Leading Role,Joan Allen,The Contender,Nominee
4647,2001,Actress in a Leading Role,Laura Linney,You Can Count On Me,Nominee
4648,2001,Actress in a Supporting Role,Frances Mcdormand,Almost Famous,Nominee
4649,2001,Actress in a Supporting Role,Kate Hudson,Almost Famous,Nominee
4650,2001,Actress in a Supporting Role,Julie Walters,Billy Elliot,Nominee
4651,2001,Actress in a Supporting Role,Judi Dench,Chocolat,Winner
4652,2001,Actress in a Supporting Role,Kate Winslet,Quills,Nominee
4669,2001,Actor in a Leading Role,Jamie Bell,Billy Elliot,Nominee
4670,2001,Actor in a Leading Role,Tom Hanks,Cast Away,Nominee
4671,2001,Actor in a Leading Role,Russell Crowe,Gladiator,Nominee
4672,2001,Actor in a Leading Role,Geoffrey Rush,Quills,Nominee
4673,2001,Actor in a Leading Role,Benicio Del Toro,Traffic,Winner
4674,2001,Actor in a Supporting Role,Albert Finney,Erin Brockovich,Winner
4675,2001,Actor in a Supporting Role,Joaquin Phoenix,Gladiator,Nominee
4676,2001,Actor in a Supporting Role,Willem Dafoe,Shadow Of The Vampire,Nominee
4677,2001,Actor in a Supporting Role,Gary Oldman,The Contender,Nominee
4678,2001,Actor in a Supporting Role,Jeff Bridges,The Contender,Nominee
4837,2000,Actress in a Leading Role,Annette Bening,American Beauty,Winner
4838,2000,Actress in a Leading Role,Hilary Swank,Boys Don'T Cry,Nominee
4839,2000,Actress in a Leading Role,Meryl Streep,Music Of The Heart,Nominee
4840,2000,Actress in a Leading Role,Julianne Moore,The End Of The Affair,Nominee
4841,2000,Actress in a Leading Role,Janet Mcteer,Tumbleweeds,Nominee
4842,2000,Actress in a Supporting Role,Cameron Diaz,Being John Malkovich,Nominee
4843,2000,Actress in a Supporting Role,Catherine Keener,Being John Malkovich,Nominee
4844,2000,Actress in a Supporting Role,Chloë Sevigny,Boys Don'T Cry,Nominee
4845,2000,Actress in a Supporting Role,Angelina Jolie,"Girl, Interrupted",Winner
4846,2000,Actress in a Supporting Role,Julianne Moore,Magnolia,Nominee
4863,2000,Actor in a Leading Role,Kevin Spacey,American Beauty,Winner
4864,2000,Actor in a Leading Role,Philip Seymour Hoffman,Flawless,Nominee
4865,2000,Actor in a Leading Role,Jim Carrey,Man On The Moon,Nominee
4866,2000,Actor in a Leading Role,Denzel Washington,The Hurricane,Nominee
4867,2000,Actor in a Leading Role,Russell Crowe,The Insider,Nominee
4868,2000,Actor in a Supporting Role,Chris Cooper,American Beauty,Nominee
4869,2000,Actor in a Supporting Role,Tom Cruise,Magnolia,Nominee
4870,2000,Actor in a Supporting Role,Michael Caine,The Cider House Rules,Winner
4871,2000,Actor in a Supporting Role,Michael Clarke Duncan,The Green Mile,Nominee
4872,2000,Actor in a Supporting Role,Haley Joel Osment,The Sixth Sense,Nominee
5015,1999,Actress in a Leading Role,Cate Blanchett,Elizabeth,Nominee
5016,1999,Actress in a Leading Role,Emily Watson,Hilary And Jackie,Nominee
5017,1999,Actress in a Leading Role,Jane Horrocks,Little Voice,Nominee
5018,1999,Actress in a Leading Role,Meryl Streep,One True Thing,Nominee
5019,1999,Actress in a Leading Role,Gwyneth Paltrow,Shakespeare In Love,Winner
5020,1999,Actress in a Supporting Role,Lynn Redgrave,Gods And Monsters,Nominee
5021,1999,Actress in a Supporting Role,Rachel Griffiths,Hilary And Jackie,Nominee
5022,1999,Actress in a Supporting Role,Brenda Blethyn,Little Voice,Nominee
5023,1999,Actress in a Supporting Role,Kathy Bates,Primary Colors,Winner
5024,1999,Actress in a Supporting Role,Judi Dench,Shakespeare In Love,Nominee
5041,1999,Actor in a Leading Role,Nick Nolte,Affliction,Nominee
5042,1999,Actor in a Leading Role,Ian Mckellen,Gods And Monsters,Nominee
5043,1999,Actor in a Leading Role,Roberto Benigni,Life Is Beautiful,Winner
5044,1999,Actor in a Leading Role,Tom Hanks,Saving Private Ryan,Nominee
5045,1999,Actor in a Leading Role,Joseph Fiennes,Shakespeare In Love,Nominee
5046,1999,Actor in a Supporting Role,Robert Duvall,A Civil Action,Winner
5047,1999,Actor in a Supporting Role,Billy Bob Thornton,A Simple Plan,Nominee
5048,1999,Actor in a Supporting Role,James Coburn,Affliction,Nominee
5049,1999,Actor in a Supporting Role,Geoffrey Rush,Shakespeare In Love,Nominee
5050,1999,Actor in a Supporting Role,David Kelly,Waking Ned Devine,Nominee
5197,1998,Actress in a Leading Role,Helen Hunt,As Good As It Gets,Winner
5198,1998,Actress in a Leading Role,Pam Grier,Jackie Brown,Nominee
5199,1998,Actress in a Leading Role,Judi Dench,Mrs. Brown,Nominee
5200,1998,Actress in a Leading Role,Robin Wright,She'S So Lovely,Nominee
5201,1998,Actress in a Leading Role,Helena Bonham Carter,The Wings Of The Dove,Nominee
5202,1998,Actress in a Leading Role,Kate Winslet,Titanic,Nominee
5203,1998,Actress in a Supporting Role,Julianne Moore,Boogie Nights,Nominee
5204,1998,Actress in a Supporting Role,Minnie Driver,Good Will Hunting,Nominee
5205,1998,Actress in a Supporting Role,Kim Basinger,L.A. Confidential,Winner
5206,1998,Actress in a Supporting Role,Alison Elliott,The Wings Of The Dove,Nominee
5207,1998,Actress in a Supporting Role,Gloria Stuart,Titanic,Winner
5224,1998,Actor in a Leading Role,Jack Nicholson,As Good As It Gets,Winner
5225,1998,Actor in a Leading Role,Matt Damon,Good Will Hunting,Nominee
5226,1998,Actor in a Leading Role,Robert Duvall,The Apostle,Nominee
5227,1998,Actor in a Leading Role,Peter Fonda,Ulee'S Gold,Nominee
5228,1998,Actor in a Leading Role,Dustin Hoffman,Wag The Dog,Nominee
5229,1998,Actor in a Supporting Role,Anthony Hopkins,Amistad,Nominee
5230,1998,Actor in a Supporting Role,Greg Kinnear,As Good As It Gets,Nominee
5231,1998,Actor in a Supporting Role,Burt Reynolds,Boogie Nights,Nominee
5232,1998,Actor in a Supporting Role,Robin Williams,Good Will Hunting,Winner
5233,1998,Actor in a Supporting Role,Billy Connolly,Mrs. Brown,Nominee
5368,1997,Actress in a Leading Role,Frances Mcdormand,Fargo,Winner
5369,1997,Actress in a Leading Role,Diane Keaton,Marvin'S Room,Nominee
5370,1997,Actress in a Leading Role,Brenda Blethyn,Secrets & Lies,Nominee
5371,1997,Actress in a Leading Role,Kristin Scott Thomas,The English Patient,Nominee
5372,1997,Actress in a Leading Role,Gena Rowlands,Unhook The Stars,Nominee
5373,1997,Actress in a Supporting Role,Renee Zellweger,Jerry Maguire,Nominee
5374,1997,Actress in a Supporting Role,Gwen Verdon,Marvin'S Room,Nominee
5375,1997,Actress in a Supporting Role,Juliette Binoche,The English Patent,Nominee
5376,1997,Actress in a Supporting Role,Lauren Bacall,The Mirror Has Two Faces,Winner
5377,1997,Actress in a Supporting Role,Marisa Tomei,Unhook The Stars,Nominee
5394,1997,Actor in a Leading Role,Tom Cruise,Jerry Maguire,Nominee
5395,1997,Actor in a Leading Role,Geoffrey Rush,Shine,Winner
5396,1997,Actor in a Leading Role,Billy Bob Thornton,Sling Blade,Nominee
5397,1997,Actor in a Leading Role,Ralph Fiennes,The English Patient,Nominee
5398,1997,Actor in a Leading Role,Woody Harrelson,The People Vs. Larry Flynt,Nominee
5399,1997,Actor in a Supporting Role,William H. Macy,Fargo,Nominee
5400,1997,Actor in a Supporting Role,"Cuba Gooding, Jr.",Jerry Maguire,Winner
5401,1997,Actor in a Supporting Role,Noah Taylor,Shine,Nominee
5402,1997,Actor in a Supporting Role,Hank Azaria,The Birdcage,Nominee
5403,1997,Actor in a Supporting Role,Nathan Lane,The Birdcage,Nominee
5550,1996,Actress in a Leading Role,Susan Sarandon,Dead Man Walking,Winner
5551,1996,Actress in a Leading Role,Elisabeth Shue,Leaving Las Vegas,Nominee
5552,1996,Actress in a Leading Role,Joan Allen,Nixon,Nominee
5553,1996,Actress in a Leading Role,Emma Thompson,Sense And Sensibility,Nominee
5554,1996,Actress in a Leading Role,Meryl Streep,The Bridges Of Madison County,Nominee
5555,1996,Actress in a Supporting Role,Mare Winningham,Georgia,Nominee
5556,1996,Actress in a Supporting Role,Mira Sorvino,Mighty Aphrodite,Nominee
5557,1996,Actress in a Supporting Role,Kate Winslet,Sense And Sensibility,Winner
5558,1996,Actress in a Supporting Role,Stockard Channing,Smoke,Nominee
5559,1996,Actress in a Supporting Role,Anjelica Huston,The Crossing Guard,Nominee
5576,1996,Actor in a Leading Role,James Earl Jones,Cry The Beloved Country,Nominee
5577,1996,Actor in a Leading Role,Sean Penn,Dead Man Walking,Nominee
5578,1996,Actor in a Leading Role,Nicolas Cage,Leaving Las Vegas,Winner
5579,1996,Actor in a Leading Role,Anthony Hopkins,Nixon,Nominee
5580,1996,Actor in a Leading Role,Massimo Troisi,The Postman / Il Postino,Nominee
5581,1996,Actor in a Supporting Role,Ed Harris,Apollo 13,Winner
5582,1996,Actor in a Supporting Role,Don Cheadle,Devil In A Blue Dress,Nominee
5583,1996,Actor in a Supporting Role,Kevin Bacon,Murder In The First,Nominee
5584,1996,Actor in a Supporting Role,Kenneth Branagh,Othello,Nominee
5585,1996,Actor in a Supporting Role,Kevin Spacey,The Usual Suspects,Nominee
5683,1995,Actress in a Leading Role,Jessica Lange,Blue Sky,Nominee
5684,1995,Actress in a Leading Role,Jodie Foster,Nell,Winner
5685,1995,Actress in a Leading Role,Susan Sarandon,The Client,Nominee
5686,1995,Actress in a Leading Role,Meryl Streep,The River Wild,Nominee
5687,1995,Actress in a Leading Role,Meg Ryan,When A Man Loves A Woman,Nominee
5688,1995,Actress in a Supporting Role,Dianne Wiest,Bullets Over Broadway,Winner
5689,1995,Actress in a Supporting Role,Robin Wright,Forrest Gump,Nominee
5690,1995,Actress in a Supporting Role,Sally Field,Forrest Gump,Nominee
5691,1995,Actress in a Supporting Role,Uma Thurman,Pulp Fiction,Nominee
5692,1995,Actress in a Supporting Role,Jamie Lee Curtis,True Lies,Nominee
5709,1995,Actor in a Leading Role,Tom Hanks,Forrest Gump,Winner
5710,1995,Actor in a Leading Role,Paul Newman,Nobody'S Fool,Nominee
5711,1995,Actor in a Leading Role,John Travolta,Pulp Fiction,Nominee
5712,1995,Actor in a Leading Role,Morgan Freeman,The Shawshank Redemption,Nominee
5713,1995,Actor in a Leading Role,Tim Robbins,The Shawshank Redemption,Nominee
5714,1995,Actor in a Supporting Role,Chazz Palminteri,Bullets Over Broadway,Nominee
5715,1995,Actor in a Supporting Role,Martin Landau,Ed Wood,Winner
5716,1995,Actor in a Supporting Role,Gary Sinise,Forrest Gump,Nominee
5717,1995,Actor in a Supporting Role,Samuel L. Jackson,Pulp Fiction,Nominee
5718,1995,Actor in a Supporting Role,John Turturro,Quiz Show,Nominee
5756,2019,Actor in a Leading Role,Denzel Washington,Roman J. Israel,Nominee
