year,category,full_name,show,won
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,MAYIM BIALIK,THE BIG BANG THEORY,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,MELISSA RAUCH,THE BIG BANG THEORY,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,SIMON HELBERG,THE BIG BANG THEORY,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,ANNA CHLUMSKY,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,GARY COLE,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,JULIA LOUIS-DREYFUS,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN DUNN,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,MATT WALSH,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,REID SCOTT,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,SUFE BRADSHAW,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,TIMOTHY SIMONS,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A COMEDY SERIES,TONY HALE,VEEP,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BEN ROSENFIELD,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BRIAN GERAGHTY,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DOMENICK LOMBARDOZZI,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ERIK LA RAY HARVEY,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,GRETCHEN MOL,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JACK HUSTON,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JACOB WARE,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JEFFREY WRIGHT,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MARGOT BINGHAM,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL KENNETH WILLIAMS,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL STUHLBARG,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,NISI STURGIS,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PATRICIA ARQUETTE,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PAUL SPARKS,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RON LIVINGSTON,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SHEA WHIGHAM,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,STEPHEN GRAHAM,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,AARON PAUL,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ANNA GUNN,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BETSY BRANDT,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BOB ODENKIRK,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BRYAN CRANSTON,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DEAN NORRIS,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JESSE PLEMONS,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,KEVIN RANKIN,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LAURA FRASER,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LAVELL CRAWFORD,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MATTHEW T. METZLER,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL BOWEN,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PATRICK SANE,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RJ MITTE,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,STEVEN MICHAEL QUEZADA,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,TAIT FLETCHER,BREAKING BAD,True
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ALLEN LEECH,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,AMY NUTTALL,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,BRENDAN COYLE,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,CARA THEOBOLD,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DAN STEVENS,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DAVID ROBB,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ED SPELEERS,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ELIZABETH McGOVERN,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,HUGH BONNEVILLE,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JESSICA BROWN FINDLAY,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JIM CARTER,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JOANNE FROGGATT,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,KEVIN DOYLE,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LAURA CARMICHAEL,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LESLEY NICOL,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MAGGIE SMITH,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MATT MILNE,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHELLE DOCKERY,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PENELOPE WILTON,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PHYLLIS LOGAN,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ROB JAMES-COLLIER,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SIOBHAN FINNERAN,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SOPHIE McSHERA,DOWNTON ABBEY,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ALFIE ALLEN,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,CARICE VAN HOUTEN,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,CHARLES DANCE,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,EMILIA CLARKE,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,GWENDOLINE CHRISTIE,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,HANNAH MURRAY,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,IAIN GLEN,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,IAN McELHINNEY,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ISAAC HEMPSTEAD WRIGHT,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,IWAN RHEON,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JACK GLEESON,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JOE DEMPSIE,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,JOHN BRADLEY,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,KIT HARINGTON,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,KRISTOFER HIVJU,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,LENA HEADEY,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MACKENZIE CROOK,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MAISIE WILLIAMS,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL McELHATTON,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MICHELLE FAIRLEY,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,NATALIE DORMER,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,NATHALIE EMMANUEL,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,NIKOLAJ COSTER-WALDAU,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,OONA CHAPLIN,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PAUL KAYE,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,PHILIP McGINLEY,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RICHARD MADDEN,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RORY McCANN,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,ROSE LESLIE,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SIBEL KEKILLI,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SOPHIE TURNER,GAME OF THRONES,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,,HOMELAND,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,CLAIRE DANES,HOMELAND,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,DAMIAN LEWIS,HOMELAND,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,F. MURRAY ABRAHAM,HOMELAND,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MANDY PATINKIN,HOMELAND,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,MORGAN SAYLOR,HOMELAND,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,RUPERT FRIEND,HOMELAND,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,SARITA CHOUDHURY,HOMELAND,False
2014 - 20th Annual,ENSEMBLE IN A DRAMA SERIES,TRACY LETTS,HOMELAND,False
2014 - 20th Annual,FEMALE COMEDY SERIES,TINA FEY,30 ROCK,False
2014 - 20th Annual,FEMALE COMEDY SERIES,JULIE BOWEN,MODERN FAMILY,False
2014 - 20th Annual,FEMALE COMEDY SERIES,EDIE FALCO,NURSE JACKIE,False
2014 - 20th Annual,FEMALE COMEDY SERIES,MAYIM BIALIK,THE BIG BANG THEORY,False
2014 - 20th Annual,FEMALE COMEDY SERIES,JULIA LOUIS-DREYFUS,VEEP,True
2014 - 20th Annual,FEMALE DRAMA SERIES,JESSICA LANGE,AMERICAN HORROR STORY  COVEN,False
2014 - 20th Annual,FEMALE DRAMA SERIES,ANNA GUNN,BREAKING BAD,False
2014 - 20th Annual,FEMALE DRAMA SERIES,MAGGIE SMITH,DOWNTON ABBEY,True
2014 - 20th Annual,FEMALE DRAMA SERIES,CLAIRE DANES,HOMELAND,False
2014 - 20th Annual,FEMALE DRAMA SERIES,KERRY WASHINGTON,SCANDAL,False
2014 - 20th Annual,FEMALE LEAD ROLE,MERYL STREEP,AUGUST  OSAGE COUNTY,False
2014 - 20th Annual,FEMALE LEAD ROLE,CATE BLANCHETT,BLUE JASMINE,True
2014 - 20th Annual,FEMALE LEAD ROLE,SANDRA BULLOCK,GRAVITY,False
2014 - 20th Annual,FEMALE LEAD ROLE,JUDI DENCH,PHILOMENA,False
2014 - 20th Annual,FEMALE LEAD ROLE,EMMA THOMPSON,SAVING MR. BANKS,False
2014 - 20th Annual,FEMALE SUPPORTING ROLE,LUPITA NYONG'O,12 YEARS A SLAVE,True
2014 - 20th Annual,FEMALE SUPPORTING ROLE,JENNIFER LAWRENCE,AMERICAN HUSLE,False
2014 - 20th Annual,FEMALE SUPPORTING ROLE,JULIA ROBERTS,AUGUST  OSAGE COUNTY,False
2014 - 20th Annual,FEMALE SUPPORTING ROLE,OPRAH WINFREY,LEE DANIELS' THE BUTLER,False
2014 - 20th Annual,FEMALE SUPPORTING ROLE,JUNE SQUIBB,NEBRASKA,False
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,ANGELA BASSETT,BETTY & CORETTA,False
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,HELENA BONHAM CARTER,BURTON AND TAYLOR,False
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,HELEN MIRREN,PHIL SPECTOR,True
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,ELISABETH MOSS,TOP OF THE LAKE,False
2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,HOLLY HUNTER,TOP OF THE LAKE,False
2014 - 20th Annual,LIFE ACHIEVEMENT,RITA MORENO,N/A,True
2014 - 20th Annual,MALE COMEDY SERIES,ALEC BALDWIN,30 ROCK,False
2014 - 20th Annual,MALE COMEDY SERIES,JASON BATEMAN,ARRESTED DEVELOPMENT,False
2014 - 20th Annual,MALE COMEDY SERIES,DON CHEADLE,HOUSE OF LIES,False
2014 - 20th Annual,MALE COMEDY SERIES,TY BURRELL,MODERN FAMILY,True
2014 - 20th Annual,MALE COMEDY SERIES,JIM PARSONS,THE BIG BANG THEORY,False
2014 - 20th Annual,MALE DRAMA SERIES,STEVE BUSCEMI,BOARDWALK EMPIRE,False
2014 - 20th Annual,MALE DRAMA SERIES,BRYAN CRANSTON,BREAKING BAD,True
2014 - 20th Annual,MALE DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,False
2014 - 20th Annual,MALE DRAMA SERIES,KEVIN SPACEY,HOUSE OF CARDS,False
2014 - 20th Annual,MALE DRAMA SERIES,JEFF DANIELS,THE NEWSROOM,False
2014 - 20th Annual,MALE LEAD ROLE,CHIWETEL EJIOFOR,12 YEARS A SLAVE,False
2014 - 20th Annual,MALE LEAD ROLE,TOM HANKS,CAPTAIN PHILLIPS,False
2014 - 20th Annual,MALE LEAD ROLE,MATTHEW McCONAUGHEY,DALLAS BUYERS CLUB,True
2014 - 20th Annual,MALE LEAD ROLE,FOREST WHITAKER,LEE DANIELS' THE BUTLER,False
2014 - 20th Annual,MALE LEAD ROLE,BRUCE DERN,NEBRASKA,False
2014 - 20th Annual,MALE SUPPORTING ROLE,MICHAEL FASSBENDER,12 YEARS A SLAVE,False
2014 - 20th Annual,MALE SUPPORTING ROLE,BARKHAD ABDI,CAPTAIN PHILLIPS,False
2014 - 20th Annual,MALE SUPPORTING ROLE,JARED LETO,DALLAS BUYERS CLUB,True
2014 - 20th Annual,MALE SUPPORTING ROLE,JAMES GANDOLFINI,ENOUGH SAID,False
2014 - 20th Annual,MALE SUPPORTING ROLE,DANIEL BRÜHL,RUSH,False
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,MATT DAMON,BEHIND THE CANDELABRA,False
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,MICHAEL DOUGLAS,BEHIND THE CANDELABRA,True
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,ROB LOWE,KILLING KENNEDY,False
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,AL PACINO,PHIL SPECTOR,False
2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,JEREMY IRONS,THE HOLLOW CROWN,False
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,ALL IS LOST,False
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,FAST & FURIOUS 6,False
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,LONE SURVIVOR,True
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,RUSH,False
2014 - 20th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,THE WOLVERINE,False
2014 - 20th Annual,STUNT ENSEMBLE IN A TELEVISION SERIES,,BOARDWALK EMPIRE,False
2014 - 20th Annual,STUNT ENSEMBLE IN A TELEVISION SERIES,,GAME OF THRONES,True
2014 - 20th Annual,STUNT ENSEMBLE IN A TELEVISION SERIES,,HOMELAND,False
2014 - 20th Annual,STUNT ENSEMBLE IN A TELEVISION SERIES,,THE WALKING DEAD,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,ALAN ARKIN,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,BEN AFFLECK,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,BRYAN CRANSTON,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,CHRIS MESSINA,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,CHRISTOPHER DENHAM,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,CLEA DUVALL,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,JOHN GOODMAN,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,KERRY BISHÉ,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,KYLE CHANDLER,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,RORY COCHRANE,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,SCOOT MCNAIRY,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,TATE DONOVAN,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,VICTOR GARBER,ARGO,True
2013 - 19th Annual,CAST IN A MOTION PICTURE,,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,AARON TVEIT,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,AMANDA SEYFRIED,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,ANNE HATHAWAY,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,COLM WILKINSON,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,DANIEL HUTTLESTONE,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,EDDIE REDMAYNE,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,HELENA BONHAM CARTER,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,HUGH JACKMAN,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,ISABELLE ALLEN,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,RUSSELL CROWE,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,SACHA BARON COHEN,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,SAMANTHA BARKS,LES MISÉRABLES,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,,LINCOLN,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,DANIEL DAY-LEWIS,LINCOLN,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,DAVID STRATHAIRN,LINCOLN,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,HAL HOLBROOK,LINCOLN,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,JAMES SPADER,LINCOLN,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,JOSEPH GORDON-LEVITT,LINCOLN,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,SALLY FIELD,LINCOLN,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,TOMMY LEE JONES,LINCOLN,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,,SILVER LININGS PLAYBOOK,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,ANUPAM KHER,SILVER LININGS PLAYBOOK,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,BRADLEY COOPER,SILVER LININGS PLAYBOOK,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,CHRIS TUCKER,SILVER LININGS PLAYBOOK,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,JACKI WEAVER,SILVER LININGS PLAYBOOK,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,JENNIFER LAWRENCE,SILVER LININGS PLAYBOOK,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,ROBERT DE NIRO,SILVER LININGS PLAYBOOK,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,BILL NIGHY,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,CELIA IMRIE,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,DEV PATEL,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,JUDI DENCH,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,MAGGIE SMITH,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,PENELOPE WILTON,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,RONALD PICKUP,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,CAST IN A MOTION PICTURE,TOM WILKINSON,THE BEST EXOTIC MARIGOLD HOTEL,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ALEC BALDWIN,30 ROCK,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JACK MCBRAYER,30 ROCK,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JANE KRAKOWSKI,30 ROCK,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JUDAH FRIEDLANDER,30 ROCK,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,SCOTT ADSIT,30 ROCK,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,TINA FEY,30 ROCK,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,TRACY MORGAN,30 ROCK,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ALEX NEWELL,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,AMBER RILEY,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,CHORD OVERSTREET,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,CHRIS COLFER,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,CORY MONTEITH,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,DARREN CRISS,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,DIANNA AGRON,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,"HARRY SHUM, JR.",GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,HEATHER MORRIS,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JANE LYNCH,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JAYMA MAYS,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JENNA USHKOWITZ,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN MCHALE,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,LEA MICHELE,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,MARK SALLING,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,MATTHEW MORRISON,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,NAYA RIVERA,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,SAMUEL LARSEN,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,VANESSA LENGIES,GLEE,False
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ARIEL WINTER,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,AUBREY ANDERSON-EMMONS,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ED O'NEILL,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ERIC STONESTREET,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JESSE TYLER FERGUSON,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,JULIE BOWEN,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,NOLAN GOULD,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,RICO RODRIGUEZ,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,SARAH HYLAND,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,SOFIA VERGARA,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,TY BURRELL,MODERN FAMILY,True
2013 - 19th Annual,ENSEMBLE IN A COMEDY SERIES,ANNA DEAVERE SMITH,NURSE JACKIE,False
